Nama,Penelitian,Sitasi
AGUS HARYANTO,Current status of hydrogen production techniques by steam reforming of ethanol: a review,1175
AGUS HARYANTO,A thermodynamic analysis of hydrogen production by steam reforming of glycerol,277
AGUS HARYANTO,Production of hydrogen by steam reforming of glycerin over alumina-supported metal catalysts,244
AGUS HARYANTO,Hydrogen production from glycerol: An update,241
AGUS HARYANTO,Hydrogen production from glycerin by steam reforming over nickel catalysts,227
AGUS HARYANTO,Conversion of glycerol to hydrogen via a steam reforming process over nickel catalysts,176
AGUS HARYANTO,A comparative thermodynamic and experimental analysis on hydrogen production by steam reforming of glycerin,149
AGUS HARYANTO,Upgrading of syngas derived from biomass gasification: A thermodynamic analysis,71
AGUS HARYANTO,Ultrahigh temperature water gas shift catalysts to increase hydrogen yield from biomass gasification,54
AGUS HARYANTO,Kinetics and reactor modeling of hydrogen production from glycerol via steam reforming process over Ni/CeO2 catalysts,52
AGUS HARYANTO,Hydrogen production through the water− gas shift reaction: thermodynamic equilibrium versus experimental results over supported Ni catalysts,50
AGUS HARYANTO,Co-gasification of hardwood chips and crude glycerol in a pilot scale downdraft gasifier,48
AGUS HARYANTO,Glycerin steam reforming for hydrogen production,15
AGUS HARYANTO,Palm oil mill effluent treatment and utilization to ensure the sustainability of palm oil industries,11
AGUS HARYANTO,Sustainability assesment of biomass utilization for bioenergy case study in Lampung Indonesia,10
AGUS HARYANTO,Economic benefit and greenhouse gas emission reduction potential of a family-scale cowdung anaerobic biogas digester,5
AGUS HARYANTO,Toward Revitalization of Biomass Gasification Technology,4
AGUS HARYANTO,"Effect of Stove types on in-kitchen air quality: case study at way Isem Village, Lampung Province, Indonesia",3
AGUS HARYANTO,Valuable products of glycerin gasification under sub-and supercritical water treatment,3
AGUS HARYANTO,Produksi Biogas dari Rumput Gajah (Pennisetum Purpureum) Melalui Proses Fermentasi Kering,2
Ag. Bambang Setiyadi,Metode penelitian untuk pengajaran bahasa asing: Pendekatan kuantitatif dan kualitatif,317
Ag. Bambang Setiyadi,Teaching English as foreign language,268
Ag. Bambang Setiyadi,Penelitian dalam pengajaran bahasa asing,11
Ag. Bambang Setiyadi,A survey of language learning strategies in a tertiary EFL in Indonesia,11
