Penelitian,Sitasi
Current status of hydrogen production techniques by steam reforming of ethanol: a review,1175
A thermodynamic analysis of hydrogen production by steam reforming of glycerol,277
Production of hydrogen by steam reforming of glycerin over alumina-supported metal catalysts,244
Hydrogen production from glycerol: An update,241
Hydrogen production from glycerin by steam reforming over nickel catalysts,227
Conversion of glycerol to hydrogen via a steam reforming process over nickel catalysts,176
A comparative thermodynamic and experimental analysis on hydrogen production by steam reforming of glycerin,149
Upgrading of syngas derived from biomass gasification: A thermodynamic analysis,71
Ultrahigh temperature water gas shift catalysts to increase hydrogen yield from biomass gasification,54
Kinetics and reactor modeling of hydrogen production from glycerol via steam reforming process over Ni/CeO2 catalysts,52
Hydrogen production through the water− gas shift reaction: thermodynamic equilibrium versus experimental results over supported Ni catalysts,50
Co-gasification of hardwood chips and crude glycerol in a pilot scale downdraft gasifier,48
Glycerin steam reforming for hydrogen production,15
Palm oil mill effluent treatment and utilization to ensure the sustainability of palm oil industries,11
Sustainability assesment of biomass utilization for bioenergy case study in Lampung Indonesia,10
Economic benefit and greenhouse gas emission reduction potential of a family-scale cowdung anaerobic biogas digester,5
Toward Revitalization of Biomass Gasification Technology,4
"Effect of Stove types on in-kitchen air quality: case study at way Isem Village, Lampung Province, Indonesia",3
Valuable products of glycerin gasification under sub-and supercritical water treatment,3
Produksi Biogas dari Rumput Gajah (Pennisetum Purpureum) Melalui Proses Fermentasi Kering,2
Metode penelitian untuk pengajaran bahasa asing: Pendekatan kuantitatif dan kualitatif,317
Teaching English as foreign language,268
Penelitian dalam pengajaran bahasa asing,11
A survey of language learning strategies in a tertiary EFL in Indonesia,11
Penelitian Tindakan untuk Guru dan Mahasiswa,10
English learning strategies in an EFL setting in Indonesia,8
Language Learning Strategies: Classification and Pedagogical Implication,7
Skill-based Categories: An Alternative of Language Learning Strategy Measurement,5
Mahpul.(2016). How Successful Learners Employ Learning Strategies in an EFL Setting in the Indonesian Context,5
Tefl 1,3
Teaching writing,3
Redesigning Language Learning Strategy Classifications,3
"Language Attitude and Motivation of the Islamic School Students: How do Madrasa Students of the Academic Year 2013 -2014 in Indonesia Perceive English, English Teaching and …",2
A comparative study between introvert and extrovert students personality in listening achievement,2
Teaching English for Learner 2,2
"B. Mahpul, Sukamto and Sukirlan. 2007",2
Attitude and Motivation in Learning a Local Language,1
Identifying learning strategies between successful and unsuccessful learners in reading comprehension,1
The Difference Between Successful And Unsuccessful Learners In English Listening's Learning Strategies,1
THE IMPLEMENTATION OF “POWER TEACHING” APPROACH IN INCREASING STUDENTS’SPEAKING PARTICIPATION,1
The pH dependence of free ionic activities and total dissolved concentrations of copper and cadmium in soil solution,131
Observation of Two-Neutrino Double-Beta Decay in ,206
"Deterioration of soil fertility by land use changes in South Sumatra, Indonesia: from 1970 to 1990",58
"Sosiologi Skematika, Teori dan Terapan",197
Pengaruh Struktur Kepemilikan Terhadap Keputusan Keuangan dan Nilai Perusahaan Survey pada Perusahaan Manufaktur di PT. Bursa Efek Indonesia,200
Membedah hukum progresif,328
"Termite assemblage collapse along a land‐use intensification gradient in lowland central Sumatra, Indonesia",202
A review of maximum power point tracking algorithms for wind energy systems,361
"Activities of some soil enzymes in different land use systems after deforestation in hilly areas of West Lampung, South Sumatra, Indonesia",78
"Land use and cover changes in a hilly area of South Sumatra, Indonesia (from 1970 to 1990)",29
"Activities of soil enzymes in different land-use systems in middle terrace areas of Lampung Province, South Sumatra, Indonesia",18
"Measurement and behavior of indigenous levels of the free-hydrated cations of Cu, Zn and Cd in the soil water system",17
Ilmu Tanah Fundamental,8
"Soil enzymatic activities in a hilly coffee plantation in Lampung Province, South Sumatra, Indonesia, under plant cover management",6
"M. Kimura. 1997. Land Use and Cover Changes in a Hilly Area of South Sumatra, Indonesia (from 1970-1990)",5
"Control of Indigenous levels of Cadmium, Copper, and Zinc Ion Activities in Soil Solution",4
"Activities of soil enzymes in fields continuously cultivated with cassava, sugarcane, and pineapple in middle terrace areas of Lampung Province, South Sumatra, Indonesia",3
Status kesuburan tanah dalam pertanaman singkong (Manihot esculenta Crantz) di Gunung Batin Lampung Utara: 1. Tingkat ketersediaan unsur hara,3
Effects of land-use system and land-use change on soil enzymatic activities,2
Land use change in a hilly and a middle terrace areas and its impact on soil fertility in South Sumatra,2
Management of Heavy Metals in Tropical Soil Environment,1
Penentuan Dosis Dan Ukuran Butir Pupuk Fosfat Super Terbaik Untuk Mendukung Pertumbuhan Dan Serapan P Tanaman Kedelai (Glycine Max [l.] Merril),1
Penurunan aktivitas fosfatase asam di daerah perakaran beberapa jenis tanaman akibat perlakuan kapur dan limbah industri bertimah hitam,1
The DTPA-extractable heavy metals in tropical soils treated with lime materials,1
Tropical Soil Labile Fractions of Copper in the Experimental Plots±Ten Years after Application of Copper-Containing-Waste,"(None,)"
Pengaruh Sistem Olah Tanah Dan Aplikasi Herbisida Terhadap Beberapa Sifat Kimia Tanah Pada Tanah Ultisol Di Pertanaman Ubi Kayu (manihot Esculenta Crantz),"(None,)"
Peningkatan Fosfat Larut dari Batuan Fosfat dengan Campuran Limbah Cair Industri Tapioka dan Asam Sulfat pada Waktu Inkubasi Berbeda,"(None,)"
Observation of single collisionally cooled trapped ions in a buffer gas,36
Detection of SF,22
A linear RFQ ion trap for the Enriched Xenon Observatory,19
A liquid xenon ionization chamber in an all-fluoropolymer vessel,9
Nano Lett.,6
Separation and enrichment of semiconducting carbon nanotubes and its application to highly sensitive carbon nanotube gas sensor,4
Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi,3
Dielectrophoretic assembly of semiconducting carbon nanotubes separated and enriched by spin column chromatography and its application to gas sensing,3
Identification of DC corona generating SF 6 decomposition gases adsorbed on CNT gas sensor using FTIR spectroscopy,3
Pengaruh Penambahan Asam Sulfat (H2SO4) pada Bentonit untuk Penurunan Nilai Tahanan Pentanahan,2
Analisa Harmonisa Akibat Pengaruh Penggunaan Converter pada Kereta Rel Listrik 1x25 kV Jogyakarta-Solo,1
Detection of SF 6 decomposition gases generated by HVDC partial discharges using carbon nanotube gas sensor,1
Mesin Pembuat Es Puter Elektrik untuk Home Industry di Wilayah Rajabasa Bandar Lampung,"(None,)"
Simulasi Tegangan Lebih Akibat Sambaran Petir terhadap Penentuan Jarak Maksimum untuk Perlindungan Peralatan pada Gardu Induk,"(None,)"
Effect of intermittent irrigation on methane emission from an Indonesian paddy field,44
Methane emission from an Indonesian paddy field subjected to several fertilizer treatments,38
Three-year measurement of methane emission from an Indonesian paddy field,33
"Land use and cover changes in a hilly area of South Sumatra, Indonesia (from 1970 to 1990)",29
Soil chemical properties of an Indonesian red acid soil as affected by land use and crop management,18
"Sarno and M. Kimura. 1999. Deterioration of Soil Fertility from Land-Use Changes in South Sumatra, Indonesia (1970-1990)",17
M.(1994). Methane emission from an Indonesian paddy fields subjected to several fertilizers treatments,15
Effect of rice variety on methane emission from an Indonesian paddy field,14
Effect of weed management in coffee plantation on soil chemical properties,10
Methane emission from an Indonesian rainfed paddy field,9
Inoculation effect of N2-Fixer and P-solubilizer into a mixture of fresh manure and phosphate rock formulated as organonitrofos fertilizer on bacterial and fungal populations,8
Pengaruh jangka panjang pemberian pupuk organik dan inorganik serta kombinasinya terhadap perbaikan tanah masam Taman Bogo. J,7
"Methane emission from Indonesian rice fields with special references to the effects of yearly and seasonal variations, rice variety, soil type and water management",7
"H., and Kimura, M. 1996: Three-year measurement of methane emission from an Indonesian paddy field",6
"Uji Efektivitas Pupuk Organonitrofos dan Kombinasinya Dengan Pupuk Anorganik terhadap Pertumbuhan, Serapan Hara dan Produksi Tanaman Mentimun (Cucumis Sativus L.) pada Musim …",5
Optimum Ratio of Fresh Manure and Grain Size of Phosphate Rock Mixture in a Formulated Compost for Organomineral NP Fertilizer,5
"M. Kimura. 1997. Land Use and Cover Changes in a Hilly Area of South Sumatra, Indonesia (from 1970-1990)",5
"Uji Efektifitas Pupuk Organonitrofos Dan Kombinasinya Dengan Pupuk Kimia Terhadap Pertumbuhan, Serapan Hara Dan Produksi Tanaman Kedelai (Glycine Max L. Merr) Pada Musim Tanam …",3
"Effect of land degradation on soil microbial biomass in a hilly area of south Sumatra, Indonesia",3
Sosiologi dan perubahan masyarakat: suatu interpretasi kearah realitas sosial,69
Sosiologi Kriminalitas,33
Manajemen organisasi,31
"Sosiologi: skematika, teori dan terapan",22
Pengantar metode statistik nonparametrik,12
Sosiologi Kriminologi,12
Kejahatan Dan Penyimpangan Suatu Prespektif Kriminologi,6
"Faktor Penyebab, Dampak dan Strategi Penyelesaian Konflik antar Warga di Kecamatan Way Panji Kabupaten Lampung Selatan",4
Pengaruh Keputusan Keuangan dan Kepemilikan Institusional terhadap Nilai Perusahaan (Studi Kasus Pada Perusahaan Manufaktur Yang Listing di BEJ),39
"Struktur Kepemilikan, Keputusan Keuangan dan Nilai Perusahaan",37
Penyusunan anggaran perusahaan,36
BANKING; ACCORDING TO ISLAMIC SYARIA CONCEPTS AND ITS PERFORMANCE IN INDONESIA,31
Pengaruh Struktur Kepemilikan Terhadap Keputusan Pendanaan (Perspektif Agency Theory),13
Evaluasi kinerja dan prospek reksadana saham syariah dalam pasar modal di Indonesia,11
"Pengaruh Faktor Fundamental, Faktor Ekonomi, dan Risiko Sistematis terhadap Tingkat Pengembalian Saham BEJ",5
"Pengaruh Faktor Fundamental, Indikator Ekonomi Makro, dan Risiko Sistematis Terhadap Tingkat Pengembalian Saham di PT Bursa Efek Jakarta",5
PENGARUH STRUKTUR KEPEMILIKAN TERHADAP KEPUTUSAN PENDANAAN (Perspektif Agency Theory) Survey Pada Perusahaan Manufaktur di PT. Bursa Efek Indonesia,4
Pengaruh Kualitas Pelayanan Terhadap Kepuasan Anggota Perpustakaan Kota Medan,3
the influence of curriculum and lecturers toward Quality of Entrepreneurial Graduates in Bandung,3
Studi Optimalisasi Fasilitas Parkir di Fakultas Keguruan Ilmu Pendidikan (FKIP) Universitas Lampung,2
"Studi Optimalisasi Perparkiran dan Pedestrian di Fakultas Teknik Jurusan Teknik Mesin, Teknik Elektro, Teknik Kimia dan Teknik Geofisika Universitas Lampung",2
Analisis Perbandingan Kinerja Reksa Dana Konvensional dan Reksa Dana Syariah Sebagai Dasar Pengetahuan Bagi Pengambilan Keputusan Investasi di Pasar Modal Indonesia,2
"Kepuasan Kerja: Konsep, Teori, Pendekatan dan Skala Pengukurannya",2
Studi Kebutuhan Hotmix di Provinsi Lampung,1
Which Is Better: Homoskedastis Or Heteroskedastis Volatility Model For Option Pricing?(Test Of Black-Scholes Option Model And Garch Option Model At The Indonesian Stock Exchange),1
Pengujian Garch Option Model untuk Barrier Option di Bursa Efek Indonesia,1
Peranan Manajemen Kontribusi dalam Modal Intelektual Sumber Daya Manusia Untuk Menjadi Juara,1
Hukum Adat Indonesia Perkembangan dari Masa ke Masa,60
Antropologi Budaya,37
Dasar-dasar etika dan moralitas (pengantar kajian etika profesi hukum),23
Hukum Adat Indonesia,20
Etika Bisnis&Hukum Bisnis(Sebuah Pemikiran Awal),3
Reorientasi Terhadap Tanah Sebagai Objek Investasi,3
Kajian Hukum Penanaman Modal,3
Citra Aditya,3
I. Dasar-Dasar Etika dan Moralitas,3
Vegetation indicates diversity of soil macroinvertebrates: a case study with termites along a land-use intensification gradient in lowland Sumatra,65
Macrofauna,33
Belowground biodiversity assessment: Developing a key functional group approach in best-bet alternatives to slash and burn,25
"Plant functional types and traits as biodiversity indicators for tropical forests: two biogeographically separated case studies including birds, mammals and termites",23
Sampling strategy and design to evaluate below-ground biodiversity,22
Belowground biodiversity and sustainability of complex agroecosystems,20
"Soil Collembola, Acari and other mesofauna–the Berlese method",14
"Soil macrofauna: ground-dwelling ants, termites, other macroarthropods and earthworms",14
Methods For Assessment of Below-Ground Biodiversity In Indonesia,12
Estratégia e modelo de amostragem para avaliar a biodiversidade do solo,4
"Collembola, acari y otra mesofauna del suelo: el método Berlese",2
"Collembola, Acari e outros grupos da mesofauna do solo–O método de Berlese",2
Conservation and sustainable management of belowground biodiversity in Indonesia in the context of the global CSM-BGBD project,2
"Species richness, functional diversity and relative abundance of termites under different land use regimes",2
Impact of Tropical Rain Forest Conversion on the Diversity and Abundance of Termites in Jambi Province (Dampak Konversi Hutan Tropika Basah Terhadap Keragaman Jenis Dan …,"(None,)"
"Bandar Lampung, 8-9 Mei 1995","(None,)"
Diseño y estrategias de muestreo para la evaluación de la biodiversidad del suelo,"(None,)"
TOWARD SUSTAINABLE AGRICULTURE IN HUMID TROPICS FACING 2 1st CENTURY,"(None,)"
"David E. Bignell, Reginaldo Constantino, Csaba Csuzdi, Agus Karyanto, Souleymane Konaté, Julio Louzada","(None,)"
Implementation of dynamic evolution control of bidirectional DC-DC converter for interfacing ultracapacitor energy storage to fuel-cell system,116
Modeling and simulation based approach of photovoltaic system in simulink model,63
Dynamic evolution control of bidirectional DC-DC converter for interfacing ultracapacitor energy storage to Fuel Cell Electric Vehicle system,39
A new topology-Reversing Voltage (RV)-for multi level inverters,34
Simulation and implementation of interleaved boost DC-DC converter for fuel cell application,32
"Modeling and simulation of a solar photovoltaic system, its dynamics and transient characteristics in LABVIEW",31
"Dynamic evolution control for synchronous buck DC–DC converter: Theory, model and simulation",29
Modelling and simulation of maximum power point tracking of photovoltaic system in Simulink model,24
Pengaruh Metode Socrates terhadap Kemampuan dan Disposisi Berpikir Kritis Matematis Siswa SMA,45
Manajemen Perkreditan Bank Umum,227
Surface integrity of Inconel 718 when finish turning with PVD coated carbide tool under MQL,56
Effects of treatment of barley straw with anhydrous ammonia and supplementation with heat-treated protein meals on feed intake and liveweight performance of growing lambs,61
"Cadmium, copper, and zinc levels in rice and soil of Japan, Indonesia, and China by soil type",146
The English vocabulary knowledge of Indonesian university students,233
